Handle,Command,Image Src,Image Command
men-s-quarter-zip-performance-long-sleeve-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-qzls-studio.png?v=1785429654,DELETE
men-s-quarter-zip-performance-long-sleeve-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-qzls-life.png?v=1785429656,DELETE
men-s-quarter-zip-performance-long-sleeve-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-qzls-back.png?v=1785429654,DELETE
men-s-quarter-zip-performance-long-sleeve-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-qzls-detail.png?v=1785429654,DELETE
men-s-quarter-zip-performance-long-sleeve-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q4-qzls-candid.png?v=1785429654,DELETE
men-s-quarter-zip-performance-polo-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143812_b24d8602-5777-4a5a-a162-be3267e84e09.png?v=1785595173,DELETE
men-s-quarter-zip-raglan-training-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143815_e7d15aa6-2477-47ec-a025-a5daece0b251.png?v=1785595181,DELETE
men-s-raglan-reflective-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141236_ac32a807-a8be-450b-9c5b-c9fab907aeb3.png?v=1785593645,DELETE
men-s-slim-fit-topstitch-tank-top,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143818_f0ec937a-0d54-4290-a92e-7a6f38b69884.png?v=1785595181,DELETE
classic-stripe-trim-basketball-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141239_08a31b62-4cb6-4e5c-b687-2d983bf915f3.png?v=1785593645,DELETE
