Handle,Command,Image Src,Image Command
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_154639_1c390855-752a-4afc-8cfa-48a13729d3a7.png?v=1785599282,DELETE
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-cycling-studio.png?v=1785429586,DELETE
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-cycling-life.png?v=1785429586,DELETE
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-cycling-back.png?v=1785429586,DELETE
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-cycling-detail.png?v=1785429586,DELETE
men-s-tight-cycling-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q5-cycling-candid.png?v=1785429587,DELETE
mens-color-block-raglan-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_143819_30165636-b24a-4c5a-8cf4-30d50b429b4b.png?v=1785595181,DELETE
mens-drawstring-basketball-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141244_e9e1ab39-6d42-423b-9d52-a34f0baf9ac4.png?v=1785593646,DELETE
mens-drawstring-joggers,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_154642_70a52ca8-9d95-4358-a0ca-1b9a73d585d3.png?v=1785599289,DELETE
mens-drawstring-joggers,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/mens-joggers-onmodel.png?v=1785434092,DELETE
