Handle,Command,Image Src,Image Command
mens-lightweight-performance-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b6-m-lw-tee-onmodel.png?v=1785434093,DELETE
mens-piping-straight-leg-sweatpants,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_154637_db1d13c8-6cd3-42dd-a8e1-faed61307299.png?v=1785599282,DELETE
mens-piping-straight-leg-sweatpants,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-sweatpants-studio.png?v=1785382714,DELETE
mens-piping-straight-leg-sweatpants,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-sweatpants-life.png?v=1785382714,DELETE
mens-piping-straight-leg-sweatpants,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-sweatpants-back.png?v=1785382713,DELETE
mens-piping-straight-leg-sweatpants,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-sweatpants-detail.png?v=1785382713,DELETE
mens-piping-straight-leg-sweatpants,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/q7-sweatpants-candid.png?v=1785382714,DELETE
mens-raglan-sleeve-performance-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b7-m-raglan-front.png?v=1785433998,DELETE
mens-raglan-sleeve-performance-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b7-m-raglan-back.png?v=1785433998,DELETE
mens-raglan-sleeve-performance-t-shirt,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b7-m-raglan-detail.png?v=1785433998,DELETE
