Handle,Command,Image Src,Image Command
mens-regular-fit-performance-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_023608_18294aab-813b-4532-8b47-a12db3fb71c7.png?v=1785382626,DELETE
mens-regular-fit-performance-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_023614_3f875fc7-3d7e-4b64-b518-03535653472e.png?v=1785382626,DELETE
mens-regular-fit-performance-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_023610_4a442717-1e8b-4b17-ba53-5ff7109f3915.png?v=1785382626,DELETE
mens-regular-fit-performance-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_023612_80fa212b-9a83-4654-a478-c2b9fc10cf15.png?v=1785382626,DELETE
mens-regular-fit-performance-shorts,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260730_023616_445d092d-af95-4f29-8b61-1c46b72076d3.png?v=1785382626,DELETE
soft-hooded-sports-jacket,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_154632_bf599b31-a431-48df-b92c-1e760dcf7f2c.png?v=1785599281,DELETE
two-tone-raglan-sleeve-varsity-jacket,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b4-varsity-2tone-onmodel.png?v=1785434093,DELETE
two-tone-fleeced-varsity-jacket,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/hf_20260801_141242_8917d3da-470f-4b9f-906d-720b73b41493.png?v=1785593646,DELETE
two-tone-fleeced-varsity-jacket,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b4-varsity-fleece-onmodel.png?v=1785434093,DELETE
unisex-color-block-jacquard-soccer-jersey,UPDATE,https://cdn.shopify.com/s/files/1/0799/8639/3320/files/b4-jacquard-jersey-onmodel.png?v=1785434123,DELETE
